title
QIWI Backend Tech Radar
===
date
2021-07-16
===
quadrant,   alias
q1,         langlib
q2,         data
q3,         infra
q4,         techtools
===
quadrant,   title
q1,         Languages and frameworks
q2,         Data management
q3,         Infrastructure 
q4,         Tools and Techniques
===
name,                       quadrant,      ring,   description
Java 8,                     langlib,       Adopt,  Обычная Java
Java 11,                    langlib,       Adopt,  Актуальная LTS Java
Java 16,                    langlib,       Trial,  Следующая LTS Java
Kotlin,                     langlib,       Adopt,  Как Java только Kotlin
Scala,                      langlib,       Hold,   Scala
Groovy,                     langlib,       Hold,   Groovy
Spring,                     langlib,       Adopt,  СI движок и комбайн
Spring Boot,                langlib,       Adopt,  Инcтрумент для запуска комбайна
Thrfit,                     langlib,       Adopt,  Бинарный протокол и реализация клиента-сервера
resilience4j,               langlib,       Trial,  Implemeneation of Circuit breaker pattern
Arrow,                      langlib,       Access, Функциональщина для Java/Kotlin
logback,                    langlib,       Adopt,  Библиотека-фасал для логирования
log4j,                      langlib,       Hold,   Библиотека для логирования

Oracle,                     data,          Adopt,  Одна из основных баз данных
PostgreSQL,                 data,          Adopt,  Основная база данных
CockroachDB,                data,          Access, Распределенная SQL база данных
Kafka,                      data,          Trial,  Распределенная шина для поточно обработки данных
Cassandra,                  data,          Adopt,  Масштабируемая распределенная база данных
Liquibase,                  data,          Trial,  Инструмент для миграций

Общие API-модели,           techtools,     Adopt,  Переиспользуем API-модели между сервером и клиентами
Микросервисы,               techtools,     Adopt,  Позволяет разрабатывать приложения разными командами более независимо
Trunk-based development,    techtools,     Adopt,  Фиче-флаги вместо фич-бранчей

Kubernetes,                 infra,         Adopt,  Основная платформа для запуска приложений
Docker,                     infra,         Adopt,  Контейренизация
TeamCity,                   infra,         Adopt,  CI/CD инструмент
Tekton,                     infra,         Access, Легковесный CI инструмент
ArgoCD,                     infra,         Trial,  CD и IaC для Kubernetes
