title
QIWI Backend Tech Radar
===
date
2023-10-13
===
quadrant,   alias
q1,         langlib
q2,         data
q3,         infra
q4,         techtools
===
quadrant,   title
q1,         Languages and frameworks
q2,         Data management
q3,         Infrastructure
q4,         Tools and Techniques
===
name,                       quadrant,      ring,   description
1С:Предприятие 8.3,         langlib,       Adopt,  Платформа разработки внутренних приложений
Java 8,                     langlib,       Hold,   Обычная Java
Java 11,                    langlib,       Adopt,  Актуальная LTS Java
Java 17,                    langlib,       Trial,  Следующая LTS Java
Kotlin,                     langlib,       Adopt,  Как Java только Kotlin
Scala,                      langlib,       Hold,   Scala
Groovy,                     langlib,       Hold,   Groovy
GoLang,                     langlib,       Adopt,  Системный язык программирования
Chi,						langlib,	   Adopt,  Библиотека для роутинга GoLang
gRPC,						langlib,	   Assess, RPC фреймворк для взаимодействия между микросервисами
Python 3.12,                langlib,       Assess, Python
Python 3.11,                langlib,       Adopt,  Python
Python 3.9,                 langlib,       Adopt,  Python
Python 3.8,                 langlib,       Hold,   Python
Python 3.7,                 langlib,       Hold,   Python
Flask,                      langlib,       Hold,   Бэкенд-фреймворк для Python
FastApi,                    langlib,       Adopt,  Бэкенд-фреймворк для Python
Django,                     langlib,       Hold,   Бэкенд-фреймворк для Python
SQLAlchemy,                 langlib,       Adopt,  ORM для Python
Celery,						langlib,	   Adopt,  Очередь задач для Python
Poetry,						langlib,	   Adopt,  Менеджер зависимостей для Python
Pytest,						langlib,	   Adopt,  Тест-фреймворк для Python
Spring 5,                   langlib,       Adopt,  Application Framework
Spring Boot,                langlib,       Adopt,  Инструмент для запуска комбайна
Thrift,                     langlib,       Adopt,  RPC фреймворк для взаимодействия между микросервисами
Resilience4j,               langlib,       Assess, Implementation of Circuit-Breaker pattern
Logback,                    langlib,       Adopt,  Библиотека для логирования
Log4j,                      langlib,       Hold,   Библиотека для логирования
.NET Core 6 LTS,            langlib,       Adopt,  .NET
.NET Core 5,                langlib,       Hold,   .NET
ASP.NET,                    langlib,       Adopt,  Web-фреймворк
MSTest2,                    langlib,       Adopt,  Фреймворк для тестов .NET
App.Metrics,                langlib,       Adopt,  Измерение и отправка метрик .NET
Dapper,                     langlib,       Adopt,  Легковесный ORM
Serilog,                    langlib,       Adopt,  Библиотека для логирования
MediatR,                    langlib,       Adopt,  Медиатор .NET

OracleDB,                   data,          Adopt,  Одна из основных баз данных
MsSQL,                      data,          Adopt,  SQL база данных
PostgreSQL,                 data,          Adopt,  Основная база данных
Patroni,                    data,          Adopt,  PostgreSQL в кластере
CockroachDB,                data,          Assess, Распределенная SQL-база данных
Clickhouse,                 data,          Adopt,  Колоночная база данных
Elasticsearch,              data,          Adopt,
Hazelcast,                  data,          Assess, In-Memory распределенная база данных
MongoDB,                    data,          Assess, Документоориентированная база данных
Kafka,                      data,          Adopt,  Распределенная шина для поточно обработки данных
Cassandra,                  data,          Adopt,  Масштабируемая распределенная база данных
Liquibase,                  data,          Adopt,  Инструмент для миграций
Redis,                      data,          Adopt,  Key-value база данных (со встречи по питону)
Couchbase,                  data,          Adopt,  Key-value база данных (со встречи по го)
Nats,                  		data,          Assess, Брокер сообщений (со встречи по го)

Общие API-модели,           techtools,     Adopt,  Переиспользуем API-модели между сервером и клиентами
Микросервисы,               techtools,     Adopt,  Позволяет разрабатывать приложения разными командами более независимо
Trunk-Based Development,    techtools,     Adopt,  Фиче-флаги вместо фич-бранчей
SonarQube,                  techtools,     Adopt,
OpenAPI 3.0,                techtools,     Adopt,  Стандарт описания АПИ (со встречи по питону)

Kubernetes,                 infra,         Adopt,  Основная платформа для запуска приложений
Consul,                     infra,         Adopt,  Сервис-дискавери
Vault,                      infra,         Adopt,  Хранилище секретов
Hiera,                      infra,         Hold,   Хранилище секретов
Puppet,                     infra,         Adopt,  Управление конфигурациями VM
Docker,                     infra,         Adopt,  Контейренизация
TeamCity,                   infra,         Adopt,  CI/CD инструмент
Tekton,                     infra,         Assess, Легковесный CI инструмент
ArgoCD,                     infra,         Trial,  CD и IaC для Kubernetes
Grafana,                    infra,         Adopt,
Kibana,                     infra,         Adopt,
Zabbix,                     infra,         Adopt,
Prometheus,                 infra,         Adopt,
Zipkin,                     infra,         Trial,
