title
QIWI ISEC ████████ Tech Radar
===
date
2022-07-24
===
quadrant,   alias
q1,         monitor
q2,         scanner
q3,         infra
q4,         techtools
===
quadrant,   title
q1,         Monitoring
q2,         Scanners & crawlers
q3,         Infrastructure
q4,         Tools and Techniques
===
name,                       quadrant,      ring,   description
███████ ,                monitor,       Adopt,  ██████ █████████
███████,                    monitor,       Assess, ████ ██████████
████ ██████████,            monitor,       Adopt,  ███████ █████ ████████████ 3█
███████  ,            monitor,       Adopt,
██████████████,             monitor,       Trial,
████████████,               monitor,       Adopt,  ████ ████ █ ██████ ███ ███
██████,                     monitor,       Hold,   ██████████ ███ ███████████
███████ v6,                 monitor,       Adopt,
███,                        monitor,       Hold,


████ ███,                   scanner,        Adopt,  ████ ██ ████████ ███ ██████
██ █████ ██████████,        scanner,        Adopt,  █████ ████ ██████
███████████,                scanner,        Adopt,  ████████ ████ ██████
███████,                    scanner,        Adopt,  ██████████ █ ████████
██████ █ ███,               scanner,        Assess, ██████████████-████ ██████
██████████,                 scanner,        Adopt,  ██████████ ████ ██████
█████████████,              scanner,        Adopt,
█████████,                  scanner,        Assess, In-Memory ██████████████ ████ ██████
███████,                    scanner,        Assess, ████████████████████████ ████ ██████


█████████,                  techtools,     Adopt,
████████ ,               techtools,     Adopt,
████████  ,           techtools,     Adopt,
██████████,                 techtools,     Adopt,
████████   ,       techtools,     Adopt,
████████    ,   techtools,     Adopt,
██████,                     techtools,     Trial,
█████████ ,              techtools,     Adopt,
████,                       techtools,     Trial,
████2███,                   techtools,     Adopt,
███ ████████ ███████,       techtools,     Trial,
█████████ ███████,          techtools,     Adopt,
███████,                    techtools,     Adopt,
███████ ███████,            techtools,     Assess,
███████████,                techtools,     Trial,
██████████ ████,            techtools,     Adopt,
██████████ █████,           techtools,     Adopt,
██████████ ███,             techtools,     Adopt,
███,                        techtools,     Hold,
████████,                   techtools,     Adopt,
███████ ██████,             techtools,     Trial,
█████,                      techtools,     Trial,
███ ████████,               techtools,     Adopt,
████,                       techtools,     Adopt,
█████████ ███,              techtools,     Trial,
████████ ███ ████████,      techtools,     Adopt,
████████ ███ █████,         techtools,     Trial,
█████ ███,                  techtools,     Access,
██████,                     techtools,     Trial,
████,                       techtools,     Adopt,
███████,                    techtools,     Adopt,
██,                         techtools,     Adopt,

██████████,                 infra,         Adopt,  ████████ █████████ ███ ███████ ██████████
██████,                     infra,         Adopt,  ██████-█████████
█████,                      infra,         Adopt,  █████████ ████████
█████,                      infra,         Hold,   █████████ ████████
███████,                    infra,         Adopt,  ██████████ ██████████████ ██
██████,                     infra,         Adopt,  ███████████████
████████,                   infra,         Adopt,  █████ ██████████
██████ ,                 infra,         Trial,  █████ ██ ████████ ████████
███████,                    infra,         Adopt,
██████  ,             infra,         Adopt,
███████,                    infra,         Adopt,
██████████,                 infra,         Adopt,
██████   ,         infra,         Trial,
█████████████ ███████,      infra,         Adopt,
██████ ███████,             infra,         Adopt,
