title
QIWI JS Tech Radar
===
date
2021-07-15
===
quadrant,   alias
q1,         lang
q2,         Platforms
q3,         tools
q4,         tech
===
quadrant,   title
q1,         Languages and frameworks
q2,         Platforms
q3,         Tools
q4,         Techniques
===
name,                       quadrant,   ring,   description
TypeScript,                 lang,       Adopt,  "Язык программирования, позиционируемый как средство разработки веб-приложений, расширяющее возможности JavaScript."
JavaScript,                 lang,       Adopt,
Flow,                       lang,       Hold,   "Статический анализатор кода и набор синтаксических конструкций, для прямого указания типа переменной"
Nestjs,                     lang,       Trial,  Spring для TS
React,                      lang,       Adopt,  "Декларативная, эффективная и гибкая JavaScript библиотека для создания пользовательских интерфейсов."
Redux,                      lang,       hold,   Стейт-менеджмент провайдер
Rematch,                    lang,       Trial,  Shortcut-flow абстракция над redux
lodash,                     lang,       Adopt,  Стандартная библиотека
express,                    lang,       Hold,   Мидвары поверх http-server
emotion,                    lang,       Trial,  CSSinJS
jest,                       lang,       Adopt,  Фреймворк для unit автотестов
cypress,                    lang,       Assess, Фреймворк для e2e тестов
Nodejs,                     Platforms,  Adopt,
Kuber,                      Platforms,  Adopt,
Pijma,                      Platforms,  Trial,
Yarn,                       Tools,      Adopt,  Пакетный менеджер вместо npm
semantic-relese,            Tools,      Trial,  Движение к CD чтобы катать семантические релизы
Travis-ci,                  Tools,      Trial,  CI для OSS
eslint,                     Tools,      Trial,  "Инструмент статического анализа кода для выявления проблемных шаблонов, обнаруженных в коде JavaScript."
flp,                        Tools,      Assess, Провайдер клиентских событий
mocha,                      Tools,      Hold,   Либа для автотестов
codeclimate,                Tools,      Trial,  "Статический анализатор кода https://github.com/codeclimate/codeclimate"
Monorepo,                   Tech,       adopt,  Обобщение кодовой базы на уровне домена продукта
Trunk-basedDevelopment,     Tech,       Adopt,  Фиче-флаги вместо фич-бранчей
Гексагональная архитектура, Tech,      Assess,  Унификации контракта интерфейсов различных слоев приложений
OSS,                        Tech,       adopt,  "Публичная разработка https://github.com/qiwi"
masker,                     tools,      trial,  "Composite data masking utility https://github.com/qiwi/masker"
