title
QIWI JS Tech Radar
===
date
2022-07-25
===
quadrant,   alias
q1,         lang
q2,         Platforms
q3,         tools
q4,         tech
===
quadrant,   title
q1,         "Languages, frameworks, libs"
q2,         Platforms
q3,         Tools
q4,         Techniques
===
name,                       quadrant,   ring,   description
TypeScript,                 lang,       Adopt,  "TypeScript is a typed superset of JavaScript that compiles to plain JavaScript."
es2015,                     lang,       Adopt,  es2015
es2021,                     lang,       Trial,  es2021
Flow,                       lang,       Hold,   "Статический анализатор кода и набор синтаксических конструкций, для прямого указания типа переменной"
Nest.js,                    lang,       Adopt,  Spring для TS
React,                      lang,       Adopt,  "Декларативная, эффективная и гибкая JavaScript библиотека для создания пользовательских интерфейсов."
React Native,               lang,       Assess, Разработка нативных приложений для Android и iOS на React
Vue,                        lang,       Hold,   VueJS
Redux,                      lang,       Hold,   Стейт-менеджмент провайдер
Rematch,                    lang,       Adopt,  Shortcut-flow абстракция над redux
lodash,                     lang,       Adopt,  Стандартная библиотека
express,                    lang,       Hold,   Мидлвары поверх http-server
emotion,                    lang,       Adopt,  CSS in JS
jest,                       lang,       Adopt,  Фреймворк для unit автотестов
uvu,                        lang,       Trial,  «Легкая» либа для автотестирования
mocha,                      lang,       Hold,   legacy либа для автотестов
cypress,                    lang,       Adopt,  Фреймворк для e2e тестов
Nodejs 16,                  Platforms,  Adopt,  Nodejs 16
Nodejs 18,                  Platforms,  Trial,  Nodejs 18
bun,                        Platforms,  Assess, "https://bun.sh/"
Kubernetes,                 Platforms,  Adopt,  "https://kubernetes.io/"
Pijma,                      Platforms,  Adopt,  "QIWI UI Kit (react 16)"
Yarn classic,               Platforms,  Adopt,  Пакетный менеджер вместо npm
Yarn 4,                     Platforms,  trial,  yarn 4
semantic-release,           Tools,      Hold,   "Движение к CD, раннер семантических релизов"
multi-semantic-release,     Tools,      Hold,   Враппер semrel для совместимости с монорепами. Меняем на zx-bulk-release
zx-semrel,                  Tools,      Trial,  "Провайдер семантических релизов, совместимый с gerrit"
Travis-ci,                  Tools,      Hold,   "CI для OSS. GH победил. Выпиливаем. И Appveyor тоже"
eslint,                     Tools,      Adopt,  "Инструмент, который позволяет проводить анализ качества вашего кода, написанного на любом выбранном стандарте JavaScript."
flp,                        Tools,      Adopt,  Провайдер клиентских событий
codeclimate,                Tools,      Adopt,  "Статический анализатор кода https://github.com/codeclimate/codeclimate"
React Styleguidist,         Tools,      Hold,   "https://react-styleguidist.js.org/"
Storybook,                  Tools,      Assess, "https://storybook.js.org/"
sonar,                      Tools,      Trial,  Статический анализатор кода
masker,                     tools,      trial,  "Composite data masking utility https://github.com/qiwi/masker"
zx,                         tools,      trial,  "Замена bash"
uniconfig,                  tools,      hold,   "Декларативные конфиги для приложений. Слишком сложно получилось, выпиливаем"
Monorepo,                   Tech,       Adopt,  Обобщение кодовой базы на уровне домена продукта
Trunk-basedDevelopment,     Tech,       Adopt,  Фиче-флаги вместо фич-бранчей
Гексагональная архитектура, Tech,       Assess, Унификации контракта интерфейсов различных слоев приложений
OSS,                        Tech,       adopt,  "Публичная разработка https://github.com/qiwi"
