title
QIWI OPS Tech Radar
===
date
2022-07-01
===
quadrant,   alias
q1,         langlib
q2,         data
q3,         infra
q4,         techtools
===
quadrant,   title
q1,         Languages and frameworks
q2,         Data management
q3,         Infrastructure
q4,         Tools and Techniques
===
name,                       quadrant,      ring,   description
Java,                       langlib,       Adopt,  Обычная Java
GoLang,                     langlib,       Assess, Системный язык программирования
Python 3,                   langlib,       Adopt,  Python
Flask,                      langlib,       Adopt,
FastApi,                    langlib,       Trial,
Logback,                    langlib,       Adopt,  Библиотека для логирования
Log4j,                      langlib,       Hold,   Библиотека для логирования
.NET Core 6 LTS,            langlib,       Adopt,  .NET
.NET Core 5,                langlib,       Hold,   .NET
ASP.NET,                    langlib,       Adopt,  Web-фреймворк
MSTest2,                    langlib,       Adopt,  Фреймворк для тестов .NET
App.Metrics,                langlib,       Adopt,  Измерение и отправка метрик .NET
Lua,                        langlib,       Adopt,

OracleDB,                   data,          Adopt,  Одна из основных баз данных
MsSQL,                      data,          Adopt,  SQL база данных
PostgreSQL,                 data,          Adopt,  Основная база данных
Patroni,                    data,          Adopt,  PostgreSQL в кластере
CockroachDB,                data,          Assess, Распределенная SQL-база данных
Clickhouse,                 data,          Adopt,  Колоночная база данных
Elasticsearch,              data,          Adopt,
Hazelcast,                  data,          Assess, In-Memory распределенная база данных
MongoDB,                    data,          Assess, Документоориентированная база данных
Kafka,                      data,          Adopt,  Распределенная шина для поточно обработки данных
Cassandra,                  data,          Adopt,  Масштабируемая распределенная база данных
Victoriametrics,            data,          Adopt,
Osquery,                    data,          Assess,

SonarQube,                  techtools,     Adopt,
Graphite,                   techtools,     Adopt,
Asterisk,                   techtools,     Adopt,
Freeswitch,                 techtools,     Adopt,
Proxysql,                   techtools,     Adopt,
Metabase,                   techtools,     Adopt,
VueJSб,                     techtools,     Trial,
Librenms,                   techtools,     Adopt,
Nats,                       techtools,     Trial,
Stor2rrd,                   techtools,     Adopt,
Ibm spectrum control,       techtools,     Trial,
Commvault Simpana,          techtools,     Adopt,
Graylog,                    techtools,     Adopt,
Noction netflow,            techtools,     Assess,
Multifactor,                techtools,     Trial,
TrendMicro DDEI,            techtools,     Adopt, 
TrendMicro DDAN,            techtools,     Adopt,
TrendMicro DDD,             techtools,     Adopt,
Duo,                        techtools,     Hold,
PaloAlto,                   techtools,     Adopt,
Anchore Engine,             techtools,     Trial,
Falco,                      techtools,     Trial,
IBM Guardium,               techtools,     Adopt,
SCCM,                       techtools,     Adopt,
Microsoft DLP,              techtools,     Trial,
Defender for Endpoint,      techtools,     Adopt,
Defender for Cloud,         techtools,     Trial,
Azure ARC,                  techtools,     Access,
Intune,                     techtools,     Trial,
ADFS,                       techtools,     Adopt,
AzureAD,                    techtools,     Adopt,
AD,                         techtools,     Adopt,

Kubernetes,                 infra,         Adopt,  Основная платформа для запуска приложений
Consul,                     infra,         Adopt,  Сервис-дискавери
Vault,                      infra,         Adopt,  Хранилище секретов
Hiera,                      infra,         Hold,   Хранилище секретов
Puppet,                     infra,         Adopt,  Управление конфигурациями VM
Docker,                     infra,         Adopt,  Контейренизация
TeamCity,                   infra,         Adopt,  CI/CD инструмент
ArgoCD,                     infra,         Trial,  CD и IaC для Kubernetes
Grafana,                    infra,         Adopt,
Kibana,                     infra,         Adopt,
Zabbix,                     infra,         Adopt,
Prometheus,                 infra,         Adopt,
Zipkin,                     infra,         Trial,
Clickhouse,                 infra,         Adopt,
Telegraf,                   infra,         Adopt,
Jitsi,                      infra,         Assess,
VMware,                     infra,         Adopt,
Kamailio,                   infra,         Trial,
Cisco Call Manager,         infra,         Hold,
Cisco Contact Center,       infra,         Hold,
Janus,                      infra,         Trial,
Sentry,                     infra,         Assess,
MS Teams,                   infra,         Trial,
Nessus SC,                  infra,         Adopt,
Qradar,                     infra,         Adopt,
Wazuh,                      infra,         Adopt,
Wallarm,                    infra,         Adopt,
Bitwarden,                  infra,         Adopt,
BurpSuite,                  infra,         Adopt,
Apple Business Manager,     infra,         Trial,
Onedrive for business,      infra,         Adopt,
Sharepoint Online,          infra,         Trial,
Microsoft Teams,            infra,         Adopt,
Office 365,                 infra,         Adopt,
Windows 365,                infra,         Access,
Exchange 2019,              infra,         Adopt,
Exchange 2016,              infra,         Hold,
