title
QIWI QA Tech Radar
===
date
2023-07-12
===
quadrant,   alias
q1,         lang
q2,         platforms
q3,         tools
q4,         tech
===
quadrant,   title
q1,         Languages and frameworks
q2,         Platforms and infrastructure
q3,         Tools
q4,         Techniques
===
name,                       quadrant,   ring,   description
Java 8,                     lang,       Hold,   Обычная Java
Java 11,                    lang,       Adopt,  Актуальная LTS Java
Kotlin,                     lang,       Adopt,  "Статически типизированный, объектно-ориентированный язык программирования, работающий поверх Java Virtual Machine"
TypeScript,                 lang,       Adopt,  "TypeScript — язык программирования, позиционируемый как средство разработки веб-приложений, расширяющее возможности JavaScript"
Go,                         lang,       Adopt,  "Компилируемый многопоточный язык программирования, разработанный внутри компании Google"
jest,                       lang,       Adopt,  Фреймворк для unit автотестов
Cypress,                    lang,       Hold,   Фреймворк для e2e тестов
C#,                         lang,       Hold,   язык программирования
Groovy,                     lang,       Adopt,  "Объектно-ориентированный язык программирования, разработанный для платформы Java как дополнение к языку Java с возможностями Python, Ruby и Smalltalk."
Kubernetes,                 platforms,  Adopt,  Основная платформа для запуска приложений
Docker,                     platforms,  Adopt,  Контейренизация
TeamCity,                   platforms,  Adopt,  CI/CD инструмент
Tekton,                     platforms,  Access, Легковесный CI инструмент
SonarQube,                  platforms,  Adopt,  Платформа с открытым исходным кодом для непрерывного анализа и измерения качества программного кода
Moon,                       tools,      Adopt,  "Организация ручного и автоматизированного тестирования веб-приложений в настольных и мобильных браузерах на основе протокола Selenium WebDriver, работающее в кластере Kubernetes или Openshift"
Appium,                     tools,      Hold,   Tool for automation UI tests
Cucumber,                   tools,      Hold,   Tool for automation UI tests
PlayWright,                 tools,      Adopt,  Tool for automation UI tests
Selenium,                   tools,      Adopt,  Tool for automation UI tests
JUnit,                      tools,      Adopt,  Среда тестирования
apiDoc,                     tools,      Adopt,  Встроенная документация для вебинтерфейса Restful
TestNG,                     tools,      Adopt,  Среда тестирования
NUnit,                      tools,      Adopt,  Среда тестирования
Confluence,                 tools,      Adopt,  Wiki
Swagger,                    tools,      Adopt,  Фреймворк описания API
Miro,                       tools,      Adopt,  Wiki
Github,                     tools,      Hold,  Система контроля версий исползуемая в основном frontend'ового кода
Gerrit,                     tools,      Adopt,  Система контроля версий.
Intellij idea,              tools,      Adopt,  IDE для разработки на Java/Kotlin
Jira,                       tools,      Hold,   Bug tracker
Kaiten,                     tools,      Adopt,  Система управления задачами
Kibana,                     tools,      Adopt,  Визуализация логов
TeamCity,                   tools,      Adopt,  Сервер для CI/CD
TestFlight,                 tools,      Adopt,  Share test builds for testers
Grafana,                    tools,      Adopt,  Решение для построения дашбордов и мониторинга
Testrail,                   tools,      Hold,   Управление тест-кейсами для команд QA
Postman,                    tools,      Adopt,   Инструмент для тестирования API
Browserstack,               tools,      Adopt,  Облачная платформа для веб-тестирования и тестирования мобильных устройств
CodeNarc,                   tools,      Adopt,  инструмент статического анализа исходного кода Groovy
Fets,                       tools,      Adopt,  Bug tracker
Gatling,                    tools,      Adopt,  Инструмент для тестирования нагрузки и производительности с открытым исходным кодом
Gradle,                     tools,      Adopt,  Система автоматической сборки
Charles,                    tools,      Adopt,  "Кроссплатформенное приложение прокси-сервера отладки HTTP, написанное на Java"
Continuous delivery,        tech,       Adopt,  "С помощью teamcity и прохождения автоматических автотестов"
Native API tests,           tech,       Adopt,  Нативное тестирование API
Native UI tests,            tech,       Adopt,  Нативное тестирования для UI тестов
BDD,                        tech,       Adopt,  Методология разработки ПО
Continuous integration,     tech,       Adopt,  "Каждый пулл реквест проверяется автоматическими чеками"
Continuous deployment,      tech,       Adopt,  Практика автоматизации всего процесса релиза ПО
REST,                       tech,       Adopt,  Архитектурный стиль взаимодействия компонентов распределённого приложения в сети.
SOA,                        tech,       Adopt,  Service-oriented architecture
SOLID,                      tech,       Adopt,  Мнемонический акроним для 5 основных принципов объектно-ориентированного программирования и проектирования.
UI tests,                   tech,       Adopt,  фича покрывается UI тестами
Unit tests,                 tech,       Adopt,  фича покрывается unit тестами
Integration tests,          tech,       Adopt,  фича покрывается интеграционными тестами
Acceptance tests,           tech,       Adopt,  фича покрывается приемочными тестами

